label	status	source	destination	prompt
fig:ch06-02	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-02.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-02.md
fig:ch06-03	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-03.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-03.md
fig:ch06-04	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-04.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-04.md
fig:ch06-05	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-05.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-05.md
fig:ch06-06	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-06.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-06.md
fig:ch06-07	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-07.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-07.md
fig:ch06-08	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-08.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-08.md
fig:ch06-09	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-09.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-09.md
fig:ch06-10	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-10.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-10.md
fig:ch06-11	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-11.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-11.md
fig:ch06-12	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-12.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-12.md
